title,price,category,image_url,description,brand,color,material,rating
Nike Eco-friendly Shoes Model 1,₹3060,Eco-friendly Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Nike,White,Canvas,3.7
Adidas Casual Shoes Model 2,₹2190,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Adidas,White,Textile,3.8
Puma Running Shoes Model 3,₹3248,Running Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Puma,Grey,Textile,4.4
New Balance Running Shoes Model 4,₹2928,Running Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,New Balance,Beige,Textile,4.4
Nike Eco-friendly Shoes Model 5,₹3807,Eco-friendly Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Nike,Beige,Textile,4.8
Nike Running Shoes Model 6,₹4550,Running Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Nike,Blue,Recycled Textile,4.7
Puma Casual Shoes Model 7,₹2610,Casual Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Puma,Red,Recycled Textile,3.9
New Balance Casual Shoes Model 8,₹2368,Casual Shoes,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,New Balance,White,Canvas,4.9
Puma Eco-friendly Shoes Model 9,₹4744,Eco-friendly Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Puma,Blue,Textile,4.8
Puma Casual Shoes Model 10,₹4832,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Puma,White,Mesh,4.9
Skechers Casual Shoes Model 11,₹3807,Casual Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Skechers,Red,Canvas,5.0
Reebok Running Shoes Model 12,₹4917,Running Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Reebok,Blue,Synthetic Leather,4.3
Puma Eco-friendly Shoes Model 13,₹4352,Eco-friendly Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Puma,White,Recycled Textile,4.0
New Balance Running Shoes Model 14,₹4793,Running Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,New Balance,Black,Canvas,4.9
Skechers Eco-friendly Shoes Model 15,₹2653,Eco-friendly Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Skechers,Grey,Recycled Textile,4.6
Nike Sneakers Model 16,₹2930,Sneakers,https://via.placeholder.com/150,Great for running and gym workouts.,Nike,Blue,Mesh,5.0
Nike Casual Shoes Model 17,₹3130,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Nike,Beige,Synthetic Leather,3.7
Reebok Running Shoes Model 18,₹2137,Running Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Reebok,Beige,Synthetic Leather,4.3
Reebok Casual Shoes Model 19,₹2812,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Reebok,Grey,Textile,4.4
Nike Running Shoes Model 20,₹3634,Running Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Nike,Blue,Synthetic Leather,3.8
Nike Sneakers Model 21,₹3560,Sneakers,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,Nike,Beige,Synthetic Leather,4.8
New Balance Eco-friendly Shoes Model 22,₹3861,Eco-friendly Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,New Balance,Beige,Mesh,3.8
New Balance Eco-friendly Shoes Model 23,₹3198,Eco-friendly Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,New Balance,White,Mesh,4.4
Nike Sneakers Model 24,₹2616,Sneakers,https://via.placeholder.com/150,Durable and breathable mesh upper.,Nike,Blue,Canvas,4.0
Nike Sneakers Model 25,₹4803,Sneakers,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Nike,Beige,Textile,4.2
Reebok Sneakers Model 26,₹4289,Sneakers,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Reebok,Beige,Recycled Textile,3.6
Adidas Casual Shoes Model 27,₹4495,Casual Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Adidas,White,Canvas,4.1
Adidas Sneakers Model 28,₹2778,Sneakers,https://via.placeholder.com/150,Classic design with excellent arch support.,Adidas,Blue,Recycled Textile,4.9
Adidas Sneakers Model 29,₹3073,Sneakers,https://via.placeholder.com/150,Durable and breathable mesh upper.,Adidas,Black,Recycled Textile,4.7
New Balance Casual Shoes Model 30,₹4397,Casual Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,New Balance,Black,Recycled Textile,3.6
Nike Sneakers Model 31,₹3100,Sneakers,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Nike,Beige,Textile,3.7
Puma Eco-friendly Shoes Model 32,₹2729,Eco-friendly Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Puma,Blue,Synthetic Leather,3.9
Skechers Casual Shoes Model 33,₹2519,Casual Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Skechers,Beige,Mesh,3.5
Puma Casual Shoes Model 34,₹4278,Casual Shoes,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,Puma,White,Synthetic Leather,3.9
New Balance Eco-friendly Shoes Model 35,₹2924,Eco-friendly Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,New Balance,Beige,Mesh,3.6
Reebok Sneakers Model 36,₹2196,Sneakers,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Reebok,Beige,Textile,3.9
Skechers Eco-friendly Shoes Model 37,₹2739,Eco-friendly Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Skechers,Beige,Canvas,4.4
Puma Running Shoes Model 38,₹4160,Running Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Puma,Blue,Recycled Textile,4.8
Reebok Eco-friendly Shoes Model 39,₹4161,Eco-friendly Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Reebok,Grey,Canvas,4.3
Reebok Eco-friendly Shoes Model 40,₹4609,Eco-friendly Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Reebok,Red,Textile,4.7
New Balance Eco-friendly Shoes Model 41,₹3241,Eco-friendly Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,New Balance,Grey,Synthetic Leather,3.6
Puma Running Shoes Model 42,₹2918,Running Shoes,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,Puma,White,Canvas,4.3
Adidas Sneakers Model 43,₹3391,Sneakers,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,Adidas,Beige,Recycled Textile,3.9
Puma Sneakers Model 44,₹2561,Sneakers,https://via.placeholder.com/150,Classic design with excellent arch support.,Puma,White,Synthetic Leather,4.8
Reebok Running Shoes Model 45,₹2548,Running Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Reebok,White,Textile,4.5
New Balance Running Shoes Model 46,₹2963,Running Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,New Balance,Grey,Textile,3.8
Nike Casual Shoes Model 47,₹2424,Casual Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Nike,Red,Mesh,4.8
Adidas Sneakers Model 48,₹3369,Sneakers,https://via.placeholder.com/150,Great for running and gym workouts.,Adidas,Blue,Textile,3.7
Adidas Casual Shoes Model 49,₹3758,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Adidas,Grey,Mesh,4.4
Nike Eco-friendly Shoes Model 50,₹3243,Eco-friendly Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Nike,Beige,Synthetic Leather,4.3
Puma Running Shoes Model 51,₹3071,Running Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Puma,Blue,Mesh,4.2
New Balance Sneakers Model 52,₹4948,Sneakers,https://via.placeholder.com/150,Classic design with excellent arch support.,New Balance,Blue,Synthetic Leather,4.2
Skechers Casual Shoes Model 53,₹2595,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Skechers,Beige,Canvas,4.0
Puma Sneakers Model 54,₹2721,Sneakers,https://via.placeholder.com/150,Durable and breathable mesh upper.,Puma,Red,Canvas,4.5
Adidas Sneakers Model 55,₹2132,Sneakers,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Adidas,Beige,Recycled Textile,3.8
Reebok Sneakers Model 56,₹4766,Sneakers,https://via.placeholder.com/150,Durable and breathable mesh upper.,Reebok,Blue,Synthetic Leather,4.3
Nike Eco-friendly Shoes Model 57,₹4401,Eco-friendly Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Nike,Grey,Mesh,4.4
Nike Eco-friendly Shoes Model 58,₹3091,Eco-friendly Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Nike,Red,Mesh,4.1
Reebok Eco-friendly Shoes Model 59,₹2532,Eco-friendly Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Reebok,White,Textile,4.7
Reebok Sneakers Model 60,₹4481,Sneakers,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Reebok,Grey,Mesh,4.3
Nike Casual Shoes Model 61,₹3027,Casual Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Nike,White,Mesh,3.6
Reebok Eco-friendly Shoes Model 62,₹2626,Eco-friendly Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Reebok,Blue,Textile,4.8
Reebok Sneakers Model 63,₹3619,Sneakers,https://via.placeholder.com/150,Durable and breathable mesh upper.,Reebok,Grey,Recycled Textile,3.6
New Balance Running Shoes Model 64,₹3812,Running Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,New Balance,White,Recycled Textile,4.6
Reebok Sneakers Model 65,₹2259,Sneakers,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Reebok,Red,Recycled Textile,3.9
New Balance Casual Shoes Model 66,₹2945,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,New Balance,Black,Synthetic Leather,4.6
Adidas Running Shoes Model 67,₹4276,Running Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Adidas,Grey,Synthetic Leather,4.7
Reebok Sneakers Model 68,₹3690,Sneakers,https://via.placeholder.com/150,Classic design with excellent arch support.,Reebok,Red,Recycled Textile,4.6
Adidas Eco-friendly Shoes Model 69,₹4546,Eco-friendly Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Adidas,Red,Recycled Textile,4.8
Reebok Eco-friendly Shoes Model 70,₹3877,Eco-friendly Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Reebok,Grey,Synthetic Leather,3.8
Adidas Sneakers Model 71,₹2433,Sneakers,https://via.placeholder.com/150,Great for running and gym workouts.,Adidas,Black,Synthetic Leather,3.8
Adidas Casual Shoes Model 72,₹2048,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Adidas,Beige,Textile,3.9
Puma Eco-friendly Shoes Model 73,₹3720,Eco-friendly Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Puma,Black,Synthetic Leather,4.3
Nike Running Shoes Model 74,₹4255,Running Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Nike,Blue,Recycled Textile,4.0
Adidas Sneakers Model 75,₹4680,Sneakers,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,Adidas,Red,Synthetic Leather,4.0
Nike Casual Shoes Model 76,₹4344,Casual Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Nike,Grey,Canvas,3.6
Skechers Sneakers Model 77,₹3404,Sneakers,https://via.placeholder.com/150,Durable and breathable mesh upper.,Skechers,Blue,Mesh,3.8
Reebok Sneakers Model 78,₹4057,Sneakers,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,Reebok,Grey,Recycled Textile,3.5
Puma Casual Shoes Model 79,₹4331,Casual Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Puma,Grey,Canvas,4.4
Nike Running Shoes Model 80,₹4932,Running Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Nike,Grey,Textile,4.1
New Balance Sneakers Model 81,₹3319,Sneakers,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,New Balance,Blue,Synthetic Leather,4.7
Adidas Sneakers Model 82,₹2554,Sneakers,https://via.placeholder.com/150,Great for running and gym workouts.,Adidas,Red,Synthetic Leather,3.5
Nike Sneakers Model 83,₹4014,Sneakers,https://via.placeholder.com/150,Great for running and gym workouts.,Nike,Blue,Recycled Textile,3.9
New Balance Sneakers Model 84,₹3122,Sneakers,https://via.placeholder.com/150,Durable and breathable mesh upper.,New Balance,Grey,Synthetic Leather,3.5
Adidas Running Shoes Model 85,₹2317,Running Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Adidas,Beige,Canvas,3.7
Adidas Sneakers Model 86,₹2074,Sneakers,https://via.placeholder.com/150,Durable and breathable mesh upper.,Adidas,Grey,Mesh,4.1
Nike Sneakers Model 87,₹3586,Sneakers,https://via.placeholder.com/150,Great for running and gym workouts.,Nike,Blue,Textile,4.6
Nike Sneakers Model 88,₹3711,Sneakers,https://via.placeholder.com/150,Classic design with excellent arch support.,Nike,Grey,Textile,4.5
Skechers Sneakers Model 89,₹2779,Sneakers,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,Skechers,Red,Textile,4.8
Nike Sneakers Model 90,₹3433,Sneakers,https://via.placeholder.com/150,Durable and breathable mesh upper.,Nike,White,Mesh,4.0
Skechers Eco-friendly Shoes Model 91,₹4882,Eco-friendly Shoes,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Skechers,Black,Synthetic Leather,4.6
Puma Sneakers Model 92,₹3014,Sneakers,https://via.placeholder.com/150,Slip-on design with memory foam cushioning.,Puma,White,Canvas,4.4
Nike Casual Shoes Model 93,₹4128,Casual Shoes,https://via.placeholder.com/150,Eco-friendly and lightweight for casual outings.,Nike,Blue,Textile,3.7
Adidas Sneakers Model 94,₹3161,Sneakers,https://via.placeholder.com/150,Classic design with excellent arch support.,Adidas,White,Canvas,4.1
Nike Eco-friendly Shoes Model 95,₹2710,Eco-friendly Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Nike,Black,Synthetic Leather,3.7
Reebok Casual Shoes Model 96,₹3088,Casual Shoes,https://via.placeholder.com/150,Durable and breathable mesh upper.,Reebok,Red,Recycled Textile,4.5
Adidas Casual Shoes Model 97,₹2928,Casual Shoes,https://via.placeholder.com/150,Great for running and gym workouts.,Adidas,Red,Textile,3.8
Adidas Sneakers Model 98,₹3135,Sneakers,https://via.placeholder.com/150,Great for running and gym workouts.,Adidas,White,Textile,3.8
New Balance Eco-friendly Shoes Model 99,₹3313,Eco-friendly Shoes,https://via.placeholder.com/150,Comfortable and stylish for everyday wear.,New Balance,Black,Mesh,4.0
Nike Eco-friendly Shoes Model 100,₹2401,Eco-friendly Shoes,https://via.placeholder.com/150,Classic design with excellent arch support.,Nike,Beige,Canvas,4.8
